State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Gestational Diabetes,Gestational Diabetes Code,Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Other Pregnancy Outcome (months)
Georgia,13,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,37,41.46,36.51,2972.95,31.08,12.32,50.84
Georgia,13,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,413,41.15,37.94,3220.66,27.29,11.95,60.92
Georgia,13,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,17,41.59,36.88,2991.65,28.49,11.29,35.75
Georgia,13,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,193,41.43,37.44,3148.19,27.12,12.04,57.54
Georgia,13,45-49 years,45-49,High school graduate or GED completed,3,No,2,26,45.81,36.65,2745.62,28.54,6.92,214
Georgia,13,45-49 years,45-49,"Some college credit, but not a degree",4,No,2,16,46.06,38.31,3409.31,31.94,14.44,57
Georgia,13,45-49 years,45-49,"Associate degree (AA, AS)",5,No,2,13,46.15,36.77,2755.77,36.32,7.38,126
Georgia,13,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,Yes,1,12,45.75,37.17,3425.5,33.37,14.08,37
Georgia,13,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,No,2,46,45.98,37.46,2994.85,27.4,13.02,82
Georgia,13,45-49 years,45-49,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,37,46.05,36.54,2774.89,27.99,11.64,84.29
Georgia,13,45-49 years,45-49,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,16,45.75,37.12,3033.56,26.61,11.94,49.4
Hawaii,15,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,163,17.95,37.84,3032.34,25.76,7.76,12.33
Hawaii,15,15-19 years,15-19,High school graduate or GED completed,3,No,2,133,18.66,38.45,3111.47,25.7,8.79,13
Hawaii,15,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,30,18.8,38.17,2998.77,25.02,10.37,10
Hawaii,15,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,14,22.5,37.86,3292.64,29.76,9.07,57
Hawaii,15,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,303,22.06,38.36,3170.45,28.13,8.29,33.38
Hawaii,15,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,45,22.62,38.58,3321.73,30.29,10.74,27.62
Hawaii,15,20-24 years,20-24,High school graduate or GED completed,3,No,2,808,22.1,38.5,3187.41,26.9,10.28,28.25
Hawaii,15,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,19,22.53,38.11,3143,30.33,12.63,10.75
Hawaii,15,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,476,22.41,38.49,3213.86,26.65,10.43,29.03
Hawaii,15,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,11,23.18,38.09,3249.64,28.77,11.27,30
Hawaii,15,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,127,22.91,38.25,3107.39,26.99,10.7,24.58
Hawaii,15,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,130,23.25,38.97,3275.22,26.16,10.84,16.36
Hawaii,15,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,14,22.14,38.64,3184.79,29.29,7.3,30
Hawaii,15,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,15,26.87,37.93,3181.67,30.99,9.64,27
Hawaii,15,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,282,26.93,38.04,3092.86,29.76,8.15,56.07
Hawaii,15,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,43,27.12,38.16,3251.93,31.31,11.57,66.4
Hawaii,15,25-29 years,25-29,High school graduate or GED completed,3,No,2,703,26.88,38.42,3199.37,29.16,10.29,52.31
Hawaii,15,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,60,27.47,38.15,3216.77,31.8,12.24,61.2
Hawaii,15,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,671,26.93,38.37,3213.09,28.35,10.32,48.28
Hawaii,15,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,18,27.06,38.17,3129.22,32.39,12.35,36
Hawaii,15,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,262,27.18,38.37,3225.8,27.96,10,47.84
Hawaii,15,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,52,27.69,38.65,3310.23,29.52,12.1,27
Hawaii,15,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,693,27.34,38.7,3273.24,26.28,10.3,33.26
Hawaii,15,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,16,28,37.88,3119.5,31.39,10.67,35.67
Hawaii,15,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,170,27.65,38.96,3331.88,27,10.94,27.58
Hawaii,15,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,17,28.29,39.35,3469.06,23.16,10.82,17.25
Hawaii,15,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,34,27.32,37.58,3009.7,30.12,7.93,36.6
Hawaii,15,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,18,32.17,38.33,3476.78,35.27,9.5,97.75
Hawaii,15,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,224,31.75,38.09,3186.75,31.37,8.5,72.45
Hawaii,15,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,48,32.04,38.02,3191.08,32.95,9.98,65.71
Hawaii,15,30-34 years,30-34,High school graduate or GED completed,3,No,2,401,31.82,38.22,3221.17,29.57,10.53,72.61
Hawaii,15,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,50,32.08,37.74,3175.56,32.47,11.2,53.46
Hawaii,15,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,583,32,38.51,3235.45,28.79,10.28,61.36
Hawaii,15,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,37,32.14,37.68,3276.57,32.56,11.47,44
Hawaii,15,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,343,31.89,38.58,3265.32,28.13,10.96,71.77
Hawaii,15,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,83,32.25,37.96,3190.7,29.09,12.55,45.73
Hawaii,15,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,902,32.1,38.81,3310.09,26.21,10.26,47.29
Hawaii,15,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,33,32.3,38.15,3389.76,28.6,9.48,24.6
Hawaii,15,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,390,32.28,38.73,3308.99,26.2,10.63,44.97
Hawaii,15,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,83,32.42,38.81,3280.59,25.52,11.77,51.47
Hawaii,15,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,22,31.27,37.19,2931.82,28.73,7,67.5
Hawaii,15,35-39 years,35-39,9th through 12th grade with no diploma,2,Yes,1,18,37,38,3466.28,37.45,9.06,68
Hawaii,15,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,105,36.5,37.76,3160.02,30.18,8.21,111.67
Hawaii,15,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,30,36.63,37.53,3082.73,31.18,11.81,119.89
Hawaii,15,35-39 years,35-39,High school graduate or GED completed,3,No,2,200,36.58,38.04,3176.5,29.68,10.73,86.72
Hawaii,15,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,45,36.64,37.67,3101.51,31.92,12.88,74.64
Hawaii,15,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,292,36.66,38.35,3226.41,28.32,10.08,82.21
Hawaii,15,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,25,36.24,37.96,3294.08,31.46,10.64,49.17
Hawaii,15,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,201,36.48,38.25,3177.93,28.6,10.23,67.76
Hawaii,15,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,56,36.48,37.79,3013.14,29.68,13.59,56.68
Hawaii,15,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,576,36.73,38.56,3241.85,25.9,10.01,59.27
Hawaii,15,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,31,37.13,38.13,3246.35,28.53,10.31,26
Hawaii,15,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,357,36.72,38.48,3260.73,26,9.84,47.29
Hawaii,15,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,10,36.8,38.5,3370.6,25.66,9.78,Not Applicable
Hawaii,15,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,79,36.67,38.58,3277.47,25.04,11.59,45.39
Hawaii,15,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,16,36.44,38,3528.4,26.96,8.43,30.8
Hawaii,15,40-44 years,40-44,9th through 12th grade with no diploma,2,No,2,40,40.88,37.16,2919.75,30.91,7.49,48.27
Hawaii,15,40-44 years,40-44,High school graduate or GED completed,3,No,2,43,40.93,38.17,3257.02,29.67,11.7,47.8
Hawaii,15,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,16,41,37.44,2994.06,31.57,11.64,98.6
Hawaii,15,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,71,41.32,38.1,3237.58,28.52,10.81,54.89
Hawaii,15,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,38,41,38.16,3285.45,29.15,9.91,42.56
Hawaii,15,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,21,41.19,38.67,3396.67,28.35,10.5,64.2
Hawaii,15,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,137,41.2,38.5,3159.58,25.87,11.27,59.7
Hawaii,15,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,18,40.83,38.28,3137.33,29.18,12.38,78.62
Hawaii,15,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,100,41.19,38.04,3161.88,26.59,10.32,71.13
Hawaii,15,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,25,41.48,38.4,3291.2,24.33,11.57,42.5
Hawaii,15,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,No,2,16,46.56,37.19,3116.12,28.56,8.8,128.5
Idaho,16,15-19 years,15-19,8th grade or less,1,No,2,18,17.44,38.89,3454.22,24.34,8.67,14.5
Idaho,16,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,288,17.8,38.41,3207.34,25.17,10.32,18.96
Idaho,16,15-19 years,15-19,High school graduate or GED completed,3,No,2,303,18.53,38.39,3167.83,25.18,11.06,21.48
Idaho,16,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,60,18.75,37.58,3095.32,25.15,11.34,17.5
Idaho,16,20-24 years,20-24,8th grade or less,1,No,2,31,22,38.81,3301.42,26.25,7.97,29.33
Idaho,16,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,21,22.1,38.24,3213.14,31.21,10.1,38.29
Idaho,16,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,476,21.73,38.45,3197.36,25.71,10.68,29.31
Idaho,16,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,70,22.63,38.16,3336.4,31.71,11.97,23.39
Idaho,16,20-24 years,20-24,High school graduate or GED completed,3,No,2,1743,22.16,38.46,3231.88,26.86,11.18,26.22
Idaho,16,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,57,22.63,38.18,3224.23,29.94,12.7,29.86
Idaho,16,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,1157,22.56,38.63,3281.87,26.61,11.55,28.74
Idaho,16,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,20,22.95,39,3370.1,26.66,11.4,33.33
Idaho,16,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,346,22.78,38.63,3283.22,26.93,11.41,23.05
Idaho,16,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,18,23.33,38.67,3298.44,29.73,12.33,15
Idaho,16,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,452,23.32,38.69,3237.98,25.47,11.63,19.92
Idaho,16,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,21,23.81,38.76,3256.1,25.14,10.9,Not Applicable
Idaho,16,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,34,22.24,39.03,3370,25.31,11.79,21.2
Idaho,16,25-29 years,25-29,8th grade or less,1,No,2,41,26.98,39.2,3356.17,26.06,8.63,48.78
Idaho,16,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,17,27.94,37.94,3361.12,34.15,11.76,53.2
Idaho,16,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,231,26.62,38.4,3213.38,28.77,10.64,49.15
Idaho,16,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,98,26.99,37.87,3273.89,32.98,12.27,44.03
Idaho,16,25-29 years,25-29,High school graduate or GED completed,3,No,2,1554,26.8,38.38,3270.53,29.04,11.04,41.49
Idaho,16,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,93,27.11,38.02,3281.42,33.18,13.55,30.52
Idaho,16,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,1538,26.96,38.56,3320.61,28.22,11.84,37.4
Idaho,16,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,31,27.19,37.77,3265.39,31.6,12.74,36
Idaho,16,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,769,27.01,38.6,3307.81,27.77,11.67,38.6
Idaho,16,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,89,27.45,38.15,3179.75,31.6,13.22,35.15
Idaho,16,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,1842,27.19,38.72,3367.87,26.24,11.79,30.64
Idaho,16,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,18,27.83,38.28,3355.11,29.97,12.56,25.33
Idaho,16,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,274,27.53,38.71,3372.37,26.7,12.08,25.52
Idaho,16,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,59,28.08,38.86,3426.61,25.39,11.41,15.5
Idaho,16,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,35,27.11,38.23,3219.91,28.78,9.24,25
Idaho,16,30-34 years,30-34,8th grade or less,1,No,2,28,31.89,38.5,3361.82,27.65,10.64,75.57
Idaho,16,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,124,31.71,38.11,3260.19,30.07,10.32,60.93
Idaho,16,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,75,31.96,38.24,3255.85,34.01,11.86,43.48
Idaho,16,30-34 years,30-34,High school graduate or GED completed,3,No,2,845,31.6,38.25,3276.78,29.41,11.01,60.84
Idaho,16,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,90,31.9,37.57,3137.19,32.66,12.48,54.25
Idaho,16,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,1135,31.79,38.47,3337.33,28.64,11.68,55.95
Idaho,16,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,33,31.97,38.06,3309.18,32.45,12.7,68.16
Idaho,16,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,566,31.81,38.54,3354.6,28.56,11.66,50.88
Idaho,16,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,91,31.86,38.23,3302.67,31.51,12.47,32.79
Idaho,16,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,1766,31.79,38.67,3385.36,26.3,11.76,41.14
Idaho,16,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,31,32.16,37.35,3136.9,32.01,13.9,37.89
Idaho,16,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,543,32.05,38.73,3341.85,26.31,12.05,40.17
Idaho,16,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,131,32.01,38.75,3347.06,24.67,11.98,35.1
Idaho,16,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,47,32.06,38.32,3325.06,28.44,10.98,52
Idaho,16,35-39 years,35-39,9th through 12th grade with no diploma,2,Yes,1,10,36.3,37.3,3298.7,34.8,9.2,26
Idaho,16,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,51,36.57,37.78,3122.1,30.96,10.53,80.14
Idaho,16,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,37,36.32,36.86,3165.17,30.42,12.14,55.76
Idaho,16,35-39 years,35-39,High school graduate or GED completed,3,No,2,311,36.55,38.21,3210.61,29.67,11.26,72.62
Idaho,16,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,45,36.33,37.82,3211.11,33.6,11.93,83.89
Idaho,16,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,439,36.54,38.29,3312.16,28.89,11.72,62.84
Idaho,16,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,15,36.6,38.4,3374.47,32.03,12.53,45.33
Idaho,16,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,277,36.46,38.08,3287.47,28.55,11.31,56.84
Idaho,16,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,52,36.54,37.75,3162.5,30.37,12.67,65.63
Idaho,16,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,796,36.54,38.64,3358.87,26.56,11.7,50.91
Idaho,16,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,24,36.83,38.12,3262.25,29.17,12.67,55.58
Idaho,16,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,290,36.56,38.69,3403.11,25.92,11.91,44.83
Idaho,16,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,106,36.47,38.73,3391.21,25,12.29,33
Idaho,16,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,28,36.79,38.25,3302.25,28,10.4,42.6
Idaho,16,40-44 years,40-44,High school graduate or GED completed,3,Yes,1,17,41.24,36.18,2827.65,34.69,11.24,121.6
Idaho,16,40-44 years,40-44,High school graduate or GED completed,3,No,2,69,41.2,37.59,3268.69,29.17,10.41,78.85
Idaho,16,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,12,41.25,38.42,3568.75,39.16,13.42,93.2
Idaho,16,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,92,41.12,37.89,3137.21,28.76,11.05,83.36
Idaho,16,40-44 years,40-44,"Associate degree (AA, AS)",5,Yes,1,10,40.9,37.6,3261.7,33.73,11.3,50.2
Idaho,16,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,52,41.08,38,3266.6,28.78,11.19,66.13
Idaho,16,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,16,41.25,37.75,3170.62,30.78,13.64,13
Idaho,16,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,168,41.26,38.69,3363.89,27.09,12.44,49.96
Idaho,16,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,65,41,38.49,3374.17,26.58,12.32,54.55
Idaho,16,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,28,41.43,38.71,3456.32,28.11,12.96,31
Idaho,16,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,No,2,11,45.55,38.64,3196.91,25.75,10.64,20.67
Illinois,17,Under 15 years,15,8th grade or less,1,No,2,24,13.62,38.62,3085.83,25.13,9.25,13
Illinois,17,Under 15 years,15,9th through 12th grade with no diploma,2,No,2,19,13.89,38.79,3163.47,24.85,6.58,18
Illinois,17,15-19 years,15-19,8th grade or less,1,No,2,91,17.3,38.26,2946.36,23.98,8.46,21.67
Illinois,17,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,39,18.08,38,3096.26,27.09,10.21,20.6
Illinois,17,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,1434,17.47,38.1,3053.42,25.54,9.22,20.22
Illinois,17,15-19 years,15-19,High school graduate or GED completed,3,Yes,1,62,18.63,37.39,3120.31,30.47,10.58,21.44
Illinois,17,15-19 years,15-19,High school graduate or GED completed,3,No,2,1586,18.51,38.19,3078.31,25.93,9.87,19.09
Illinois,17,15-19 years,15-19,"Some college credit, but not a degree",4,Yes,1,13,18.77,37.31,3272.08,33.62,11.62,45
Illinois,17,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,262,18.75,37.79,3049.32,25.85,10.23,21.91
Illinois,17,15-19 years,15-19,Unknown or Not Stated,Unk,No,2,33,18.15,38.66,3120.25,26.18,10.22,34.4
Illinois,17,20-24 years,20-24,8th grade or less,1,Yes,1,11,22.18,38.27,3225.27,28.97,14.18,13
Illinois,17,20-24 years,20-24,8th grade or less,1,No,2,186,22.16,38.47,3203.63,26.08,8.09,31.22
Illinois,17,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,99,22.17,37.56,3118.6,32.71,10.02,32.26
Illinois,17,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,1614,21.9,38.05,3084.51,28.45,9.49,31.3
Illinois,17,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,442,22.27,37.83,3264.5,32.05,11.51,32.82
Illinois,17,20-24 years,20-24,High school graduate or GED completed,3,No,2,7159,22.08,38.22,3132.16,28.29,10.22,29.33
Illinois,17,20-24 years,20-24,High school graduate or GED completed,3,Unknown or Not Stated,9,10,21.9,37.6,3006.2,28.12,10.44,22.5
Illinois,17,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,200,22.54,37.84,3257.86,31.66,11.75,32.67
Illinois,17,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,3339,22.36,38.35,3183.53,28.23,10.8,27.71
Illinois,17,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,59,23,37.61,3159.03,31.2,11.74,24
Illinois,17,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,860,22.87,38.36,3229.42,28.12,11.31,27.65
Illinois,17,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,45,23.18,38,3214.13,30.02,12.56,25.71
Illinois,17,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,848,23.31,38.4,3221.03,27.82,11.29,25.65
Illinois,17,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,63,23.59,38.41,3291.19,26.68,11.49,31
Illinois,17,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,146,22.31,38.26,3121.83,28.07,9.56,23
Illinois,17,25-29 years,25-29,8th grade or less,1,Yes,1,12,26.67,38.5,3221.33,33.08,9.92,99
Illinois,17,25-29 years,25-29,8th grade or less,1,No,2,179,26.84,38.37,3264.3,28.84,7.26,41.8
Illinois,17,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,108,27.2,37.68,3182.72,33.92,12.06,56.59
Illinois,17,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,1023,26.85,37.97,3110.77,30.42,9.22,48.37
Illinois,17,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,613,27.1,37.76,3229.57,34.27,12.45,41.89
Illinois,17,25-29 years,25-29,High school graduate or GED completed,3,No,2,6166,26.86,38.12,3178.72,30.33,10.33,44.89
Illinois,17,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,515,27.33,37.8,3322.37,33.88,12.29,40.82
Illinois,17,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,5005,27.06,38.25,3228.21,30.17,10.91,42.92
Illinois,17,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,256,27.26,37.82,3329.67,32.47,13.19,39.71
Illinois,17,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,2454,27.17,38.28,3275.34,29.07,11.39,39.42
Illinois,17,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,472,27.44,37.82,3280.02,31.77,12.83,29.43
Illinois,17,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,5477,27.43,38.54,3342.19,27.82,11.62,29.68
Illinois,17,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,152,27.82,38.14,3300.41,31.89,12.95,21.75
Illinois,17,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1837,27.8,38.48,3345.66,27.5,11.72,25.94
Illinois,17,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,18,28.33,38,3173.89,30.15,11.65,50.5
Illinois,17,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,346,27.92,38.45,3299.25,26.33,11.28,24.1
Illinois,17,25-29 years,25-29,Unknown or Not Stated,Unk,Yes,1,10,27.8,38.3,3168.1,26.56,13,12.5
Illinois,17,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,221,27.38,38.38,3228.71,28.65,10.93,38.59
Illinois,17,30-34 years,30-34,8th grade or less,1,Yes,1,12,32.08,38,3154,36.05,11.33,84.17
Illinois,17,30-34 years,30-34,8th grade or less,1,No,2,108,31.78,38.66,3407.97,29,8.18,51.91
Illinois,17,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,92,32.03,37.84,3276.38,35.21,10.8,69.87
Illinois,17,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,677,31.8,37.85,3066.68,30.77,9.01,68.92
Illinois,17,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,510,31.76,37.6,3229.65,34.56,11.74,64.5
Illinois,17,30-34 years,30-34,High school graduate or GED completed,3,No,2,3867,31.71,37.96,3158.44,30.91,10.26,59.52
Illinois,17,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,653,31.96,37.72,3289.43,34.53,12.08,59.8
Illinois,17,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,4320,31.81,38.1,3211.07,30.44,10.88,57.13
Illinois,17,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,347,31.89,37.75,3260.21,34.44,12.44,50.8
Illinois,17,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,2479,31.81,38.25,3298.69,29.56,11.29,52.59
Illinois,17,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,889,32.13,37.87,3279.92,31.34,12.68,33.19
